id,name,reason,score,best_candidate,PostOrt
2079,Artificial Engineering,no_candidates,,,
2086,Aposmart,no_candidates,,,
2093,M10 AI,no_candidates,,,
2100,Soul Rehab,no_candidates,,,
2101,Doings by House of Impact AB,no_candidates,,,
2102,And-U,no_candidates,,,
2105,Quantic Ceos New Media,no_candidates,,,
2108,Unikum - Net AB,no_candidates,,,
2113,Avelon Consulting,no_candidates,,,
2130,BUILD:ology,no_candidates,,,
2131,Kodehash Technologies,no_candidates,,,
2133,Teldrip,no_candidates,,,
2141,Forge Systems,no_candidates,,,
2148,GF Piping System,no_candidates,,,
2152,heck.ai,no_candidates,,,
2154,CanaryBit,no_candidates,,,
2156,Karlskoga Energi & Miljö AB,no_candidates,,,
2161,Worley Sweden,no_candidates,,,
2168,holminnovation,no_candidates,,,
2171,Bouvier Advisory,no_candidates,,,
2176,Fatih Celik,no_candidates,,,
2185,Bonito Foundation,no_candidates,,,
2188,Registered Documents Europe,no_candidates,,,
2194,EdMon,low_score,88,"Gorie, Edmon",SÖDERTÄLJE
2201,DecKid,no_candidates,,,
2202,Nimble & Co,no_candidates,,,
2209,Objectways Technologies,no_candidates,,,
2211,Gordon & Frost,no_candidates,,,
2218,Mitigate AI Services,no_candidates,,,
2231,IQ Shift,no_candidates,,,
2237,Lion AI Box,no_candidates,,,
2240,Atlas Research,no_candidates,,,
2241,Optimus Fintech Inc,no_candidates,,,
2242,TyTo AI,no_candidates,,,
2255,Sazinga Digital Services Pvt Ltd,no_candidates,,,
2261,SCD Information Technologies,no_candidates,,,
2263,Vlink,low_score,86,devLink AB,FALKENBERG
2268,Prosp3r,no_candidates,,,
2269,s-AI-les,no_candidates,,,
2270,AI&I,no_candidates,,,
2272,Tally,low_score,86,"Tally, Michael",TJOCKÖ
2275,HumanTechConnect,no_candidates,,,
2284,Assessed Intelligence,no_candidates,,,
2285,ForHumanity,no_candidates,,,
2287,PepperCatch,no_candidates,,,
2290,Millainen Consulting Oy,no_candidates,,,
