id,name_x,reason,score,best_candidate,PostOrt,name_y,website,location_city,location_country
1681,Bilfinger Engineering and Maintenance,no_candidates,,,,Bilfinger Engineering and Maintenance,,,Sweden
1686,Sjö&Hav Outdoor Care (Sjö&Hav),no_candidates,,,,Sjö&Hav Outdoor Care (Sjö&Hav),http://www.sjohav.se,,Sweden
1691,Oliver Isaksson,no_candidates,,,,Oliver Isaksson,https://www.nimoai.io,,Sweden
1692,Nimo AI,no_candidates,,,,Nimo AI,,,Sweden
1699,Gothenburg Artificial Intelligence Alliance,no_candidates,,,,Gothenburg Artificial Intelligence Alliance,https://www.gaia.fish/,,Sweden
1703,Amazon (AWS),no_candidates,,,,Amazon (AWS),https://aws.amazon.com,,Sweden
1712,outfinder,no_candidates,,,,outfinder,https://outfinder.co,,Sweden
1716,Volontärbyrån,no_candidates,,,,Volontärbyrån,https://www.volontarbyran.org/,,Sweden
1719,Tauffer Consulting,no_candidates,,,,Tauffer Consulting,https://www.taufferconsulting.com/,,Sweden
1720,Basinghall Analytics,no_candidates,,,,Basinghall Analytics,https://www.basingha.com/,,Sweden
1741,XRFTW,no_candidates,,,,XRFTW,https://xrftw.com,,Sweden
1749,Project Management Institute,no_candidates,,,,Project Management Institute,https://www.pmi.org/,,Sweden
1750,Gray Oncology Solutions,no_candidates,,,,Gray Oncology Solutions,,,Sweden
1751,DiagnosticsXAI,no_candidates,,,,DiagnosticsXAI,,,Sweden
1760,Blackwell Medtech,no_candidates,,,,Blackwell Medtech,https://www.blackwell.se/,,Sweden
1761,IT Software (Solutions Scandinavia AB),no_candidates,,,,IT Software (Solutions Scandinavia AB),https://itsoftware.se/,,Sweden
1764,AI For HR,no_candidates,,,,AI For HR,https://www.aiforhr.se/,,Sweden
1773,AI Coach Mikael Vilkas,no_candidates,,,,AI Coach Mikael Vilkas,https://www.aicoachen.ai/,,Sweden
1774,Rikard Hedenblad,no_candidates,,,,Rikard Hedenblad,,,Sweden
1776,Stability AI,no_candidates,,,,Stability AI,https://stability.ai,,Sweden
1777,W2X LABS,no_candidates,,,,W2X LABS,,,Sweden
1783,Hugging Face,no_candidates,,,,Hugging Face,https://huggingface.co,,Sweden
1785,Derome AB,no_candidates,,,,Derome AB,https://www.derome.se,,Sweden
1786,"Wallenberg AI, Autonomous Systems and Software Program - Humanity and Society",no_candidates,,,,"Wallenberg AI, Autonomous Systems and Software Program - Humanity and Society",https://wasp-hs.org,,Sweden
1787,Nytt-IQ,no_candidates,,,,Nytt-IQ,https://nytt-iq.se/om-oss,,Sweden
1788,Archiblad's Adventures AB,no_candidates,,,,Archiblad's Adventures AB,,,Sweden
1790,Claesson & Partners,no_candidates,,,,Claesson & Partners,,,Sweden
1792,Cambrex Karlskoga AB,no_candidates,,,,Cambrex Karlskoga AB,Https://www.cambrex.com,,Sweden
1796,Anthropic,no_candidates,,,,Anthropic,https://www.anthropic.com,,Sweden
1800,Negrete Marknadskommunikation,no_candidates,,,,Negrete Marknadskommunikation,,,Sweden
1802,AI-Coachen Mikael Vilkas,no_candidates,,,,AI-Coachen Mikael Vilkas,,,Sweden
1807,UNperfect UNited,no_candidates,,,,UNperfect UNited,,,Sweden
1820,MyData Sweden,no_candidates,,,,MyData Sweden,https://mydata.org/sweden,,Sweden
1828,"Fritidsförvaltningen, Malmö stad",no_candidates,,,,"Fritidsförvaltningen, Malmö stad",,,Sweden
1833,Eghed AB,no_candidates,,,,Eghed AB,https://eghed.se/,,Sweden
1835,The Swedish AI Association (AICenter),no_candidates,,,,The Swedish AI Association (AICenter),https://aicenter.se,,Sweden
1837,Elite Trotters,no_candidates,,,,Elite Trotters,https://www.elitetrotters.com,,Sweden
1842,INVID AB,no_candidates,,,,INVID AB,https://invid.se,,Sweden
1851,Reka AI,no_candidates,,,,Reka AI,https://www.reka.ai,,Sweden
1852,HC-Tec AB,no_candidates,,,,HC-Tec AB,,,Sweden
1853,Bäckström Stockholm AB,no_candidates,,,,Bäckström Stockholm AB,https://backstroms.se/,,Sweden
1866,VerksamhetsVision i Stockholm,no_candidates,,,,VerksamhetsVision i Stockholm,https://www.verksamhetsvision.se,,Sweden
1869,Archipelago Data,no_candidates,,,,Archipelago Data,https://archipelagodata.com/,,Sweden
1875,Jenny Sjölin AI Coach,no_candidates,,,,Jenny Sjölin AI Coach,https://www.jennysjolin.com,,Sweden
1882,Markbolagen,no_candidates,,,,Markbolagen,https://www.markbolagen.se,,Sweden
1888,SeederDeBoer,no_candidates,,,,SeederDeBoer,,,Sweden
1892,Mårten Bergsten,no_candidates,,,,Mårten Bergsten,https://jssecurity.tech,,Sweden
1900,Incoord - en teknikkonsult i samhällsbyggnadssektorn som förstår generativ AI,no_candidates,,,,Incoord - en teknikkonsult i samhällsbyggnadssektorn som förstår generativ AI,https://incoord.se,,Sweden
1907,Triangulate,no_candidates,,,,Triangulate,,,Sweden
1913,VALHALLA VAULT,no_candidates,,,,VALHALLA VAULT,https://valhalla-vault.com,,Sweden
1918,AI med Anton,no_candidates,,,,AI med Anton,https://aimedanton.com/,,Sweden
1923,Atlan AI,no_candidates,,,,Atlan AI,https://atlan-ai.com/,,Sweden
1934,Prithu Banerjee,no_candidates,,,,Prithu Banerjee,https://www.algorithma.se/,,Sweden
1957,KAN Agency,no_candidates,,,,KAN Agency,https://kan.se,,Sweden
1959,FinetuneDB,no_candidates,,,,FinetuneDB,https://finetunedb.com,,Sweden
1971,Urban Vind B.V.,no_candidates,,,,Urban Vind B.V.,https://urbanvind.com/,,Sweden
1974,Techlära,no_candidates,,,,Techlära,https://techlara.se/,,Sweden
1978,Gelectric,no_candidates,,,,Gelectric,https://www.gelectric.io,,Sweden
2007,Qling.ai,no_candidates,,,,Qling.ai,https://qling.ai/,,Sweden
